author id,conversation_id,created_at,tweet_id,tweet,source,geo
20687912,1534181237354549248,2022-06-07 14:31:25+00:00,1534181237354549248,"The White House is quietly preparing for a Supreme Court ruling overturning Roe v. Wade, a consequential decision expected to come this month
https://t.co/opmcQuT0vw",SocialFlow, 
74529978,1534181228756230144,2022-06-07 14:31:23+00:00,1534181228756230144,"RT @Left_EU: This week, @Europarl_EN will debate the global threat to abortion rights posed by #RoeVWade. 

Unsurprisingly, the far &amp; centr…",Twitter for iPhone, 
437866440,1534181225149214720,2022-06-07 14:31:22+00:00,1534181225149214720,"RT @RepJayapal: 57 years ago today, the Supreme Court ensured access to birth control citing the due process clause of the 14th Amendment.…",Twitter for iPhone, 
2773842067,1534181213124149249,2022-06-07 14:31:19+00:00,1534181213124149249,"RT @RepJayapal: 57 years ago today, the Supreme Court ensured access to birth control citing the due process clause of the 14th Amendment.…",Twitter Web App, 
34157839,1534181210724913152,2022-06-07 14:31:19+00:00,1534181210724913152,RT @LifeNewsHQ: New Harvard/Harris Shows More Americans Want Supreme Court to Overturn Roe v. Wade https://t.co/bqDdbtVMbC,Twitter Web App, 
1504934931499126788,1534181197516984321,2022-06-07 14:31:15+00:00,1534181197516984321,"RT @RepJayapal: 57 years ago today, the Supreme Court ensured access to birth control citing the due process clause of the 14th Amendment.…",Twitter for iPhone, 
1245396704565829633,1534181133646192643,2022-06-07 14:31:00+00:00,1534181133646192643,"RT @RepKClark: Prison time for pregnancy loss. In America.

And without Roe, it will only get worse. We can’t sit on the sidelines. https:/…",Twitter Web App, 
817488870686101504,1534181102973091840,2022-06-07 14:30:53+00:00,1534181102973091840,"RT @RepJayapal: 57 years ago today, the Supreme Court ensured access to birth control citing the due process clause of the 14th Amendment.…",Twitter for iPad, 
212342759,1534181083159445505,2022-06-07 14:30:48+00:00,1534181083159445505,RT @RyanShead: People of Praise will now influence a Supreme Court ruling on Roe v Wade because Amy Coney Barrett believes women should do…,Twitter Web App, 
16329112,1534181074040922112,2022-06-07 14:30:46+00:00,1534181074040922112,RT @PramilaJayapal: An extremist Supreme Court is poised to strip away abortion rights — and the rights of LGBTQ+ folks could be next if we…,Twitter for iPhone, 
276524634,1534181068428943360,2022-06-07 14:30:45+00:00,1534181068428943360,RT @RepRaskin: Honored to speak to graduating 8th graders at Silver Creek Middle! These politically savvy and engaged students shared thoug…,Twitter for iPhone, 
976911171050754048,1534181049688854533,2022-06-07 14:30:40+00:00,1534181049688854533,RT @OccupyDemocrats: BREAKING: A brave activist is arrested for chaining and locking himself to the non-scalable fence outside of the Supre…,Twitter Web App, 
737417748272189440,1534181049328013313,2022-06-07 14:30:40+00:00,1534181049328013313,RT @PramilaJayapal: An extremist Supreme Court is poised to strip away abortion rights — and the rights of LGBTQ+ folks could be next if we…,Twitter for iPhone, 
25067168,1533901646962610178,2022-06-07 14:30:31+00:00,1534181013089402880,"Poland is one of the few countries around the world that have tightened restrictions on abortion in recent decades, together with the US, where Roe v Wade is at risk of being overturned.

https://t.co/4U4bwUmwh3",Twitter Web App, 
859165859163643904,1534180986044424192,2022-06-07 14:30:25+00:00,1534180986044424192,RT @RepRaskin: Honored to speak to graduating 8th graders at Silver Creek Middle! These politically savvy and engaged students shared thoug…,Twitter for iPhone, 
40623989,1534180981023948802,2022-06-07 14:30:24+00:00,1534180981023948802,Pro-abortion violence escalates as potential overturn of Roe v. Wade looms https://t.co/BXZH0cDNKc,Buffer, 
